会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
株式会社Greenspoon,熊本,03-6804-5253,info@greenspoon.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000062.000055700.html,2023-05-22 06:21:00,"",""
株式会社　京王百貨店,竹田、千脇、成田、島田,"",m-takeda@keio-dept.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000226.000055181.html,2023-05-22 06:22:14,"",""
v2food Pty Ltd,作田（070-1412-2472）、長谷川（090-9968-5025）,"",v2food@ssu.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000117410.html,2023-05-22 06:25:56,"",""
イオン株式会社,"",043-212-6000,m_nakatuka@aeoneht.com,グルメ,https://prtimes.jp/main/html/rd/p/000003796.000007505.html,2023-05-22 06:26:34,"",""
日清シスコ株式会社,寺田・飯塚・中野,"",nissin_cisco@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000011.000028960.html,2023-05-22 06:28:33,"",""
株式会社オークラ ニッコー ホテルマネジメント,浜田清美,03-6685-8995,: k.hamada@naha.jalcity.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000252.000015676.html,2023-05-22 06:29:43,"",""
株式会社一休,矢作新太郎,042-393-6468,prs@193.co.jp　FAX：042-396-0298,グルメ,https://prtimes.jp/main/html/rd/p/000000009.000097019.html,2023-05-22 06:30:20,"",""
ベースフード株式会社,までご連絡ください。,"",sato@v-pr.net,グルメ,https://prtimes.jp/main/html/rd/p/000000084.000022258.html,2023-05-22 06:31:34,"",""
株式会社チェリオコーポレーション,今村・西尾,075-682-1301,pr@cheerio.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000060.000009781.html,2023-05-22 06:32:09,"",""
株式会社ストロベリーコーンズ,）,022-268-6711,sc-otoiawase@ichigo-net.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000041.000013768.html,2023-05-22 06:33:53,"",""
キルフェボン株式会社,　伊東・春山,054-254-2203,pr1@quil-fait-bon.com,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000117972.html,2023-05-22 06:35:09,"",""
株式会社 エーデルワイス,友田）,"",online@murir.net,グルメ,https://prtimes.jp/main/html/rd/p/000000865.000017643.html,2023-05-22 06:36:48,"",""
株式会社栗山米菓,"","",hkushiro@befco.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000052.000063435.html,2023-05-22 06:38:12,"",""
ICS-net株式会社,山口,026-405-6726,pr@ics-net.com,グルメ,https://prtimes.jp/main/html/rd/p/000000050.000042412.html,2023-05-22 06:40:01,"",""
株式会社TBWA HAKUHODO,"",03-5446-7386,koho@tbwahakuhodo.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000114.000034082.html,2023-05-22 06:41:15,"",""
株式会社FIKA,小野田,"",pr＠fika.tokyo,グルメ,https://prtimes.jp/main/html/rd/p/000000023.000035757.html,2023-05-22 06:43:49,"",""
DIVERSUSHIプロジェクト実行委員会,佐藤,"",info.diversushi@kmcpr.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121009.html,2023-05-22 06:45:37,"",""
株式会社サンパーク,吉田,06-6388-0389,yoshida@sunpark.ne.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000151.000037579.html,2023-05-22 06:47:20,"",""
株式会社ＴＲＩ,"",03-4400-8594,t-taya@tri-inc.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121887.html,2023-05-22 06:49:51,"",""
株式会社エフリード,安達,052-938-7210,info@f-lead.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000005.000100887.html,2023-05-22 06:51:39,"",""
株式会社名鉄ホテルホールディングス,　　　岩木、牛田,052-582-2217,t.iwaki@meitetsu-gh.co.jp　　　Email：c.ushida@meitetsu-gh.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000040.000111353.html,2023-05-22 06:52:12,"",""
株式会社sommet farm,"",03-6261-2099,kouhou@sommetfarm-inc.com（担当：関野）,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000100731.html,2023-05-22 06:52:47,"",""
NKGダイニングワークス株式会社,野村 直樹,03-5990-5432,ark3nd.tokyo@gmail.com,グルメ,https://prtimes.jp/main/html/rd/p/000000019.000038598.html,2023-05-22 06:54:10,"",""
中田食品株式会社,井橋 優花,0739-22-2486,ihashi@nakatafoods.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000096577.html,2023-05-22 06:56:03,"",""
株式会社キカクニカ,甲斐,050-5357-0832,info@kikakunika.com,グルメ,https://prtimes.jp/main/html/rd/p/000000006.000085954.html,2023-05-22 06:57:13,"",""
株式会社 K&S,吉原(ヨシハラ),025-270-3080,info@newsurprise.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000032.000091114.html,2023-05-22 06:57:52,"",""
株式会社STANDAGE,　鶴田,03-6435-3371,info@standage.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000066.000033629.html,2023-05-22 06:59:02,"",""
日本コカ・コーラ株式会社,山路,03-5466-8000,ilohas_pr@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000818.000001735.html,2023-05-22 06:59:41,"",""
MeTown株式会社,田中,080-6092-2637,info@metown.xyz,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000111965.html,2023-05-22 07:01:01,"",""
株式会社プラコレ,武藤(み)、中村,"",info@pla-cole.co,グルメ,https://prtimes.jp/main/html/rd/p/000000547.000021126.html,2023-05-22 07:01:39,"",""
株式会社髙島屋,"","",ohtsuka-rio@ad.takashimaya.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000475.000069859.html,2023-05-22 07:02:20,"",""
カゴメ株式会社,"",052-951-3571,haruca@yamauchi-company.com,グルメ,https://prtimes.jp/main/html/rd/p/000000046.000013801.html,2023-05-22 07:03:44,"",""
グルメイノベーション株式会社,高場,03-6407-8128,info@gourmet-innovation.co.jp　TEL：03-6407-8128,グルメ,https://prtimes.jp/main/html/rd/p/000000108.000002430.html,2023-05-22 07:04:24,"",""
文本酒造株式会社,"","",info@fumimoto.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000006.000118766.html,2023-05-22 07:06:10,"",""
株式会社スクナヒコ,千川原,090-7237-0063,press@sucnahiko.com,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000115081.html,2023-05-22 07:07:54,"",""
BOC Japan合同会社,小松,090-3006-0649,tkma@bocinfo.net,グルメ,https://prtimes.jp/main/html/rd/p/000000146.000043435.html,2023-05-22 07:08:25,"",""
ウッドデザインパーク株式会社,高橋,052-893-5225,takahashi@wood-designpark.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000136.000045400.html,2023-05-22 07:09:28,"",""
株式会社ジェイアール西日本ホテル開発,"","",a_fujimura@hgh.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000281.000095932.html,2023-05-22 07:10:05,"",""
株式会社FARM8,石橋,0258-94-5518,info@farm8.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000049.000029185.html,2023-05-22 07:10:41,"",""
株式会社SURF&TURF,高橋,"",t.takahashi@tsukiji-yamayuki.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000003.000105132.html,2023-05-22 07:11:56,"",""
株式会社京はやしや,オンライン事業部（吉本）,"","hokan@kyo-hayashiya.com, yoshimoto@kyo-hayashiya.com",グルメ,https://prtimes.jp/main/html/rd/p/000000040.000090362.html,2023-05-22 07:13:53,"",""
株式会社ポトマック,山崎,078-334-1274,s-yamasaki@potomak.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001542.000024488.html,2023-05-22 07:14:30,"",""
東洋製罐グループホールディングス株式会社,"",03-4514-2000,tskg_contact@tskg-hd.com,グルメ,https://prtimes.jp/main/html/rd/p/000000047.000049660.html,2023-05-22 07:20:32,"",""
株式会社クラフトリゾート,"",078-593-2210,yuyumi@gyvision.info,グルメ,https://prtimes.jp/main/html/rd/p/000000005.000099437.html,2023-05-22 07:21:49,"",""
株式会社八芳園,　工藤芽生、會澤,"",pr@happo-en.com,グルメ,https://prtimes.jp/main/html/rd/p/000000356.000019559.html,2023-05-22 07:24:10,"",""
ZERO株式会社,"","",info@zero-sus.com,グルメ,https://prtimes.jp/main/html/rd/p/000000050.000100036.html,2023-05-22 07:25:21,"",""
株式会社オニオン新聞社,"",043-201-8811,mami.watanabe@onionnews.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000132.000053539.html,2023-05-22 07:25:52,"",""
合同会社wellty,"","",info@wellty.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000102426.html,2023-05-22 07:26:32,"",""
株式会社スペースワン,営業企画部 吉田,024-954-9930,sales@spacexone.com,グルメ,https://prtimes.jp/main/html/rd/p/000000185.000045277.html,2023-05-22 07:30:12,"",""
パウダーフーズフォレスト株式会社,松葉,052-778-9075,order@pfforest.com,グルメ,https://prtimes.jp/main/html/rd/p/000000103.000038918.html,2023-05-22 07:31:25,"",""
株式会社Sweets HD,中嶋,"",info@thisischiffoncake.com,グルメ,https://prtimes.jp/main/html/rd/p/000000082.000083419.html,2023-05-22 07:34:31,"",""
株式会社エイコス,水谷優里佳 (090-9152-6353) 、松瀬恵子(080-3535-9031),"",enowa@ssu.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000005.000099506.html,2023-05-22 07:35:42,"",""
株式会社Glidge,"","",tanimura@glidge.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000042667.html,2023-05-22 07:36:22,"",""
株式会社　石垣マーケット,栗原,0980-84-5007,info@ishigaki-market.com,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000120910.html,2023-05-22 07:36:58,"",""
株式会社浜友商事,松田,03-3595-1411,matsuda.kaz@parao.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000080.000096384.html,2023-05-22 07:38:16,"",""
デイブレイク株式会社,井村桃子,03-6453-7357,pr@d-break.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000053.000042920.html,2023-05-22 07:38:54,"",""
株式会社王将フードサービス,"",075-592-1411,prkouhou@ohsho.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000123.000011353.html,2023-05-22 07:42:39,"",""
株式会社ポトマック,"",078-334-1274,press@potomak.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001541.000024488.html,2023-05-22 07:43:17,"",""
株式会社イデアコーポレーション,山本,078-335-5341,yamamoto@ideaco.jp FAX：078-335-5342,グルメ,https://prtimes.jp/main/html/rd/p/000000036.000015433.html,2023-05-22 07:44:01,"",""
株式会社インタラクティブメディアミックス,佐々木・江森・山崎,03-5447-8500,press-imx@brokore.com,グルメ,https://prtimes.jp/main/html/rd/p/000000142.000089615.html,2023-05-22 07:45:15,"",""
テレビ大阪株式会社,"",06-6947-7777,ag-fes@tv-osaka.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001379.000020945.html,2023-05-22 07:47:12,"",""
麹らあめん　田祭木,"",0422-46-7631,namchai4649@gmail.com,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000113562.html,2023-05-22 07:48:26,"",""
株式会社THREE SESSIONS,三村,"",pr@3sessions.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121139.html,2023-05-22 07:49:03,"",""
株式会社iTo,西田　萌乃,092-407-2200,itonishida29@outlook.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000119573.html,2023-05-22 07:51:07,"",""
株式会社KOUEI,白井,075-311-8851,shirai@koei-08.com,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000120522.html,2023-05-22 07:52:23,"",""
株式会社　村上農園,松井真実子、石田奈々子,082-923-6080,koho@murakamifarm.com,グルメ,https://prtimes.jp/main/html/rd/p/000000083.000009367.html,2023-05-22 07:57:11,"",""
Retty株式会社,"","",mizuki-sekiya@retty.me,グルメ,https://prtimes.jp/main/html/rd/p/000000181.000004025.html,2023-05-22 07:57:49,"",""
株式会社かかし亭,松元裕樹,0986-64-2017,h.matsumoto@kakashitei.net.,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000121647.html,2023-05-22 07:58:24,"",""
ケンミン食品株式会社,田中（070-2273-8559）・平奥(070-8812-8814),078-366-3000,kenminpr@kenmin.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000179.000027446.html,2023-05-22 07:59:36,"",""
株式会社近鉄・都ホテルズ,"","",t-tobita@miyakohotels.ne.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001258.000023303.html,2023-05-22 08:00:58,"",""
株式会社アゴーラ ホスピタリティーズ,田端（080‐9822-2013）,03-3436-1860,pr@agora.jp Web：www.agora.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000509.000010241.html,2023-05-22 08:02:55,"",""
株式会社資さん,伊藤　典子,093-932-4757,pr@sukesan.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000178.000037031.html,2023-05-22 08:04:50,"",""
スコットランド国際開発庁,大崎 賢,03-4540-5092,od-ken@kanejyo-osaki.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121859.html,2023-05-22 08:06:46,"",""
starbeer productions株式会社,"",03-5829-6878,info@belgianbeerweekend.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000036.000031928.html,2023-05-22 08:08:34,"",""
MYA BRIDGE合同会社,　橋本あかね（代表）,"",　akane.hashimoto@grapefox.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000010.000100858.html,2023-05-22 08:10:26,"",""
株式会社Mizkan Holdings,"",0569-21-3331,takanori.otsuki@dentsuprc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000277.000065533.html,2023-05-22 08:11:36,"",""
株式会社PAPABUBBLE JAPAN,大間知,03-5942-5330,papabubble@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000271.000018984.html,2023-05-22 08:12:08,"",""
合同会社シーベジタブル,"",0887-37-9835,info@seaveges.com,グルメ,https://prtimes.jp/main/html/rd/p/000000007.000093542.html,2023-05-22 08:13:47,"",""
株式会社銀座コージーコーナー,"",03-6226-2440,kouhou-senden@cozycorner.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001034.000004367.html,2023-05-22 08:17:00,"",""
東急ホテルズ＆リゾーツ株式会社,"",03-3477-6566,　u.saitou@tokyuhotels.co.jp 　TEL:03-3476-3348　FAX：03-3476-3769 （オフィス直通）,グルメ,https://prtimes.jp/main/html/rd/p/000002708.000005113.html,2023-05-22 08:18:14,"",""
石屋製菓株式会社,　　野崎、柴田,"",k.nozaki@ishiya.co.jp、y.shibata@ishiya.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000134.000018928.html,2023-05-22 08:19:27,"",""
株式会社Bace,加藤,03-6322-9998,pr@mini-mal.tokyo,グルメ,https://prtimes.jp/main/html/rd/p/000000143.000012047.html,2023-05-22 08:20:02,"",""
株式会社Qvou,片山,"",info@qvou.com,グルメ,https://prtimes.jp/main/html/rd/p/000000020.000063938.html,2023-05-22 08:23:23,"",""
一般社団法人台湾を愛する会,"",050-3580-6694,pr@taiwanfes.org までご一報頂きますようお願いいたします。,グルメ,https://prtimes.jp/main/html/rd/p/000000002.000100540.html,2023-05-22 08:24:38,"",""
株式会社江戸一,"",03-3849-2421,e-kikaku@edo-ichi.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000043.000002286.html,2023-05-22 08:25:19,"",""
株式会社セブン＆アイ・フードシステムズ,"",03-6238-3540,communication@7fs.7andi.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000177.000008035.html,2023-05-22 08:26:30,"",""
株式会社Gloture,"","",pr@gloture.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001807.000032456.html,2023-05-22 08:30:01,"",""
ワインエナジー株式会社,菊池,03-6256-8180,info@vnts.shop,グルメ,https://prtimes.jp/main/html/rd/p/000000129.000079444.html,2023-05-22 08:32:24,"",""
CT Spirits Japan株式会社,"",03-5856-5815,yusuke.akamatsu@ctspiritsjapan.com,グルメ,https://prtimes.jp/main/html/rd/p/000000085.000058608.html,2023-05-22 08:33:00,"",""
ISARIBI株式会社,"","",info@isaribi.net,グルメ,https://prtimes.jp/main/html/rd/p/000000319.000060459.html,2023-05-22 08:34:12,"",""
株式会社　PANNA,前川,03-3457-1587,info@anyjuicery.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000028470.html,2023-05-22 08:35:22,"",""
株式会社トランジットジェネラルオフィス,"",050-1743-1210,: uruwashi-natsumi@transit-web.com,グルメ,https://prtimes.jp/main/html/rd/p/000000191.000040062.html,2023-05-22 08:36:40,"",""
アイルランド政府食糧庁（ボード・ビア）,"",03-6261-6050,: pr_jp@sopexa.com,グルメ,https://prtimes.jp/main/html/rd/p/000000008.000092337.html,2023-05-22 08:37:19,"",""
マリオット・インターナショナル,"","",RC-PR.japan@aviareps.com　担当：水谷玲子,グルメ,https://prtimes.jp/main/html/rd/p/000001363.000011305.html,2023-05-22 08:37:48,"",""
特定非営利活動法人happiness,"",050-5218-9179,happiness.kyoto.info@gmail.com /TEL：050-5218-9179,グルメ,https://prtimes.jp/main/html/rd/p/000000004.000110275.html,2023-05-22 08:39:28,"",""
株式会社Agnavi,日置,"",info@agnavi.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000041.000057809.html,2023-05-22 08:40:02,"",""
コンラッド大阪,"",06-6222-0111,OSACI.PR@conradhotels.com,グルメ,https://prtimes.jp/main/html/rd/p/000000126.000024123.html,2023-05-22 08:41:50,"",""
オイシックス・ラ・大地株式会社,横溝,050-5305-0549,publicity@oisixradaichi.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000748.000008895.html,2023-05-22 08:44:12,"",""
株式会社ベストホスピタリティーネットワーク,唐澤 沙織,03-5404-2222,s-karasawa@strings-omotesando.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000504.000053012.html,2023-05-22 08:46:05,"",""
海と日本プロジェクト広報事務局,テレビ愛知　東京支社営業部　伊藤稔,03-6441-2561,ito-m@tv-aichi.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000001589.000077920.html,2023-05-22 08:46:43,"",""
富永貿易株式会社,"",078-232-8600,tatsuki-mizuno@tominaga.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000107.000020736.html,2023-05-22 08:50:04,"",""
サンクトガーレン有限会社,中川、岩本,046-224-2317,miki@sanktgallenbrewery.com,グルメ,https://prtimes.jp/main/html/rd/p/000000164.000025081.html,2023-05-22 08:50:34,"",""
Umami Meats Pte Ltd.,板谷、斉藤、住田、宮野,"",umamimeats@vectorinc.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000001.000121725.html,2023-05-22 08:51:03,"",""
株式会社立飛ストラテジーラボ,"",042-524-2240,info.greensprings@tachihi.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000061.000099018.html,2023-05-22 08:54:21,"",""
株式会社JR東日本クロスステーション,朝日奈(070-1230-7937)、新甫（しんぼ）（070-3258-4324）、道下、佐々本,"",jr-crossdvl@ssu.co.jp,グルメ,https://prtimes.jp/main/html/rd/p/000000358.000082978.html,2023-05-22 08:56:18,"",""
